English,URL
abandon,https://www.oxfordlearnersdictionaries.com/definition/english/abandon_1
absolute,https://www.oxfordlearnersdictionaries.com/definition/english/absolute_1
absorb,https://www.oxfordlearnersdictionaries.com/definition/english/absorb
abstract,https://www.oxfordlearnersdictionaries.com/definition/english/abstract_1
academic,https://www.oxfordlearnersdictionaries.com/definition/english/academic_2
accent,https://www.oxfordlearnersdictionaries.com/definition/english/accent_1
acceptable,https://www.oxfordlearnersdictionaries.com/definition/english/acceptable
accidentally,https://www.oxfordlearnersdictionaries.com/definition/english/accidentally
accommodate,https://www.oxfordlearnersdictionaries.com/definition/english/accommodate
accompany,https://www.oxfordlearnersdictionaries.com/definition/english/accompany
accomplish,https://www.oxfordlearnersdictionaries.com/definition/english/accomplish
account,https://www.oxfordlearnersdictionaries.com/definition/english/account_2
accountant,https://www.oxfordlearnersdictionaries.com/definition/english/accountant
accuracy,https://www.oxfordlearnersdictionaries.com/definition/english/accuracy
accurate,https://www.oxfordlearnersdictionaries.com/definition/english/accurate
accurately,https://www.oxfordlearnersdictionaries.com/definition/english/accurately
accuse,https://www.oxfordlearnersdictionaries.com/definition/english/accuse
acid,https://www.oxfordlearnersdictionaries.com/definition/english/acid_1
acknowledge,https://www.oxfordlearnersdictionaries.com/definition/english/acknowledge
acquire,https://www.oxfordlearnersdictionaries.com/definition/english/acquire
activate,https://www.oxfordlearnersdictionaries.com/definition/english/activate
actual,https://www.oxfordlearnersdictionaries.com/definition/english/actual
adapt,https://www.oxfordlearnersdictionaries.com/definition/english/adapt
addiction,https://www.oxfordlearnersdictionaries.com/definition/english/addiction
additional,https://www.oxfordlearnersdictionaries.com/definition/english/additional
additionally,https://www.oxfordlearnersdictionaries.com/definition/english/additionally
address,https://www.oxfordlearnersdictionaries.com/definition/english/address_2
adequate,https://www.oxfordlearnersdictionaries.com/definition/english/adequate
adequately,https://www.oxfordlearnersdictionaries.com/definition/english/adequately
adjust,https://www.oxfordlearnersdictionaries.com/definition/english/adjust
administration,https://www.oxfordlearnersdictionaries.com/definition/english/administration
adopt,https://www.oxfordlearnersdictionaries.com/definition/english/adopt
advance,https://www.oxfordlearnersdictionaries.com/definition/english/advance_3
advance,https://www.oxfordlearnersdictionaries.com/definition/english/advance_1
advance,https://www.oxfordlearnersdictionaries.com/definition/english/advance_2
affair,https://www.oxfordlearnersdictionaries.com/definition/english/affair
affordable,https://www.oxfordlearnersdictionaries.com/definition/english/affordable
afterwards,https://www.oxfordlearnersdictionaries.com/definition/english/afterwards
agency,https://www.oxfordlearnersdictionaries.com/definition/english/agency
agenda,https://www.oxfordlearnersdictionaries.com/definition/english/agenda
aggressive,https://www.oxfordlearnersdictionaries.com/definition/english/aggressive
agriculture,https://www.oxfordlearnersdictionaries.com/definition/english/agriculture
aid,https://www.oxfordlearnersdictionaries.com/definition/english/aid_1
aid,https://www.oxfordlearnersdictionaries.com/definition/english/aid_2
aids,https://www.oxfordlearnersdictionaries.com/definition/english/aids
aircraft,https://www.oxfordlearnersdictionaries.com/definition/english/aircraft
alarm,https://www.oxfordlearnersdictionaries.com/definition/english/alarm_2
alien,https://www.oxfordlearnersdictionaries.com/definition/english/alien_1
alongside,https://www.oxfordlearnersdictionaries.com/definition/english/alongside_2
alter,https://www.oxfordlearnersdictionaries.com/definition/english/alter
altogether,https://www.oxfordlearnersdictionaries.com/definition/english/altogether_1
ambulance,https://www.oxfordlearnersdictionaries.com/definition/english/ambulance
amount,https://www.oxfordlearnersdictionaries.com/definition/english/amount_2
amusing,https://www.oxfordlearnersdictionaries.com/definition/english/amusing
analyst,https://www.oxfordlearnersdictionaries.com/definition/english/analyst
ancestor,https://www.oxfordlearnersdictionaries.com/definition/english/ancestor
anger,https://www.oxfordlearnersdictionaries.com/definition/english/anger_1
angle,https://www.oxfordlearnersdictionaries.com/definition/english/angle_1
animation,https://www.oxfordlearnersdictionaries.com/definition/english/animation
anniversary,https://www.oxfordlearnersdictionaries.com/definition/english/anniversary
annual,https://www.oxfordlearnersdictionaries.com/definition/english/annual_1
annually,https://www.oxfordlearnersdictionaries.com/definition/english/annually
anticipate,https://www.oxfordlearnersdictionaries.com/definition/english/anticipate
anxiety,https://www.oxfordlearnersdictionaries.com/definition/english/anxiety
anxious,https://www.oxfordlearnersdictionaries.com/definition/english/anxious
apology,https://www.oxfordlearnersdictionaries.com/definition/english/apology
apparent,https://www.oxfordlearnersdictionaries.com/definition/english/apparent
apparently,https://www.oxfordlearnersdictionaries.com/definition/english/apparently
appeal,https://www.oxfordlearnersdictionaries.com/definition/english/appeal_1
appeal,https://www.oxfordlearnersdictionaries.com/definition/english/appeal_2
applicant,https://www.oxfordlearnersdictionaries.com/definition/english/applicant
approach,https://www.oxfordlearnersdictionaries.com/definition/english/approach_1
approach,https://www.oxfordlearnersdictionaries.com/definition/english/approach_2
appropriate,https://www.oxfordlearnersdictionaries.com/definition/english/appropriate_1
appropriately,https://www.oxfordlearnersdictionaries.com/definition/english/appropriately
approval,https://www.oxfordlearnersdictionaries.com/definition/english/approval
approve,https://www.oxfordlearnersdictionaries.com/definition/english/approve
arise,https://www.oxfordlearnersdictionaries.com/definition/english/arise
armed,https://www.oxfordlearnersdictionaries.com/definition/english/armed
arms,https://www.oxfordlearnersdictionaries.com/definition/english/arms
arrow,https://www.oxfordlearnersdictionaries.com/definition/english/arrow
artificial,https://www.oxfordlearnersdictionaries.com/definition/english/artificial
artistic,https://www.oxfordlearnersdictionaries.com/definition/english/artistic
artwork,https://www.oxfordlearnersdictionaries.com/definition/english/artwork
ashamed,https://www.oxfordlearnersdictionaries.com/definition/english/ashamed
aside,https://www.oxfordlearnersdictionaries.com/definition/english/aside_1
aspect,https://www.oxfordlearnersdictionaries.com/definition/english/aspect
assess,https://www.oxfordlearnersdictionaries.com/definition/english/assess
assessment,https://www.oxfordlearnersdictionaries.com/definition/english/assessment
asset,https://www.oxfordlearnersdictionaries.com/definition/english/asset
assign,https://www.oxfordlearnersdictionaries.com/definition/english/assign
assistance,https://www.oxfordlearnersdictionaries.com/definition/english/assistance
associate,https://www.oxfordlearnersdictionaries.com/definition/english/associate_1
associated,https://www.oxfordlearnersdictionaries.com/definition/english/associated
association,https://www.oxfordlearnersdictionaries.com/definition/english/association
assume,https://www.oxfordlearnersdictionaries.com/definition/english/assume
assumption,https://www.oxfordlearnersdictionaries.com/definition/english/assumption
assure,https://www.oxfordlearnersdictionaries.com/definition/english/assure
