English,URL,Russian
abandon,https://www.oxfordlearnersdictionaries.com/definition/english/abandon_1,покидать
absolute,https://www.oxfordlearnersdictionaries.com/definition/english/absolute_1,абсолютный
absorb,https://www.oxfordlearnersdictionaries.com/definition/english/absorb,впитывать
abstract,https://www.oxfordlearnersdictionaries.com/definition/english/abstract_1,Аннотация
academic,https://www.oxfordlearnersdictionaries.com/definition/english/academic_2,академический
accent,https://www.oxfordlearnersdictionaries.com/definition/english/accent_1,акцент
acceptable,https://www.oxfordlearnersdictionaries.com/definition/english/acceptable,приемлемо
accidentally,https://www.oxfordlearnersdictionaries.com/definition/english/accidentally,случайно
accommodate,https://www.oxfordlearnersdictionaries.com/definition/english/accommodate,приспособить
accompany,https://www.oxfordlearnersdictionaries.com/definition/english/accompany,сопровождать
accomplish,https://www.oxfordlearnersdictionaries.com/definition/english/accomplish,выполнить
account,https://www.oxfordlearnersdictionaries.com/definition/english/account_2,учетная запись
accountant,https://www.oxfordlearnersdictionaries.com/definition/english/accountant,бухгалтер
accuracy,https://www.oxfordlearnersdictionaries.com/definition/english/accuracy,точность
accurate,https://www.oxfordlearnersdictionaries.com/definition/english/accurate,точный
accurately,https://www.oxfordlearnersdictionaries.com/definition/english/accurately,точно
accuse,https://www.oxfordlearnersdictionaries.com/definition/english/accuse,обвинять
acid,https://www.oxfordlearnersdictionaries.com/definition/english/acid_1,кислота
acknowledge,https://www.oxfordlearnersdictionaries.com/definition/english/acknowledge,сознавать
acquire,https://www.oxfordlearnersdictionaries.com/definition/english/acquire,приобретать
activate,https://www.oxfordlearnersdictionaries.com/definition/english/activate,активировать
actual,https://www.oxfordlearnersdictionaries.com/definition/english/actual,действительный
adapt,https://www.oxfordlearnersdictionaries.com/definition/english/adapt,адаптироваться
addiction,https://www.oxfordlearnersdictionaries.com/definition/english/addiction,зависимость
additional,https://www.oxfordlearnersdictionaries.com/definition/english/additional,дополнительный
additionally,https://www.oxfordlearnersdictionaries.com/definition/english/additionally,Кроме того
address,https://www.oxfordlearnersdictionaries.com/definition/english/address_2,адрес
adequate,https://www.oxfordlearnersdictionaries.com/definition/english/adequate,адекватный
adequately,https://www.oxfordlearnersdictionaries.com/definition/english/adequately,адекватно
adjust,https://www.oxfordlearnersdictionaries.com/definition/english/adjust,регулировать
administration,https://www.oxfordlearnersdictionaries.com/definition/english/administration,администрация
adopt,https://www.oxfordlearnersdictionaries.com/definition/english/adopt,усыновить
advance,https://www.oxfordlearnersdictionaries.com/definition/english/advance_3,продвигать
advance,https://www.oxfordlearnersdictionaries.com/definition/english/advance_1,продвигать
advance,https://www.oxfordlearnersdictionaries.com/definition/english/advance_2,продвигать
affair,https://www.oxfordlearnersdictionaries.com/definition/english/affair,Роман
affordable,https://www.oxfordlearnersdictionaries.com/definition/english/affordable,доступный
afterwards,https://www.oxfordlearnersdictionaries.com/definition/english/afterwards,после
agency,https://www.oxfordlearnersdictionaries.com/definition/english/agency,агентство
agenda,https://www.oxfordlearnersdictionaries.com/definition/english/agenda,повестка дня
aggressive,https://www.oxfordlearnersdictionaries.com/definition/english/aggressive,агрессивный
agriculture,https://www.oxfordlearnersdictionaries.com/definition/english/agriculture,сельское хозяйство
aid,https://www.oxfordlearnersdictionaries.com/definition/english/aid_1,помогать
aid,https://www.oxfordlearnersdictionaries.com/definition/english/aid_2,помогать
aids,https://www.oxfordlearnersdictionaries.com/definition/english/aids,СПИД
aircraft,https://www.oxfordlearnersdictionaries.com/definition/english/aircraft,самолет
alarm,https://www.oxfordlearnersdictionaries.com/definition/english/alarm_2,тревога
alien,https://www.oxfordlearnersdictionaries.com/definition/english/alien_1,чужак
alongside,https://www.oxfordlearnersdictionaries.com/definition/english/alongside_2,рядом
alter,https://www.oxfordlearnersdictionaries.com/definition/english/alter,изменить
altogether,https://www.oxfordlearnersdictionaries.com/definition/english/altogether_1,в целом
ambulance,https://www.oxfordlearnersdictionaries.com/definition/english/ambulance,скорая помощь
amount,https://www.oxfordlearnersdictionaries.com/definition/english/amount_2,количество
amusing,https://www.oxfordlearnersdictionaries.com/definition/english/amusing,занимательный
analyst,https://www.oxfordlearnersdictionaries.com/definition/english/analyst,аналитик
ancestor,https://www.oxfordlearnersdictionaries.com/definition/english/ancestor,предок
anger,https://www.oxfordlearnersdictionaries.com/definition/english/anger_1,злость
angle,https://www.oxfordlearnersdictionaries.com/definition/english/angle_1,угол
animation,https://www.oxfordlearnersdictionaries.com/definition/english/animation,анимация
anniversary,https://www.oxfordlearnersdictionaries.com/definition/english/anniversary,Годовщина
annual,https://www.oxfordlearnersdictionaries.com/definition/english/annual_1,ежегодный
annually,https://www.oxfordlearnersdictionaries.com/definition/english/annually,ежегодно
anticipate,https://www.oxfordlearnersdictionaries.com/definition/english/anticipate,предвидеть
anxiety,https://www.oxfordlearnersdictionaries.com/definition/english/anxiety,беспокойство
