English,URL,Russian,Spanish,Deutsch,Czech
abandon,https://www.oxfordlearnersdictionaries.com/definition/english/abandon_1,покидать,abandonar,aufgeben,opustit
absolute,https://www.oxfordlearnersdictionaries.com/definition/english/absolute_1,абсолютный,absoluto,absolut,absolutní
absorb,https://www.oxfordlearnersdictionaries.com/definition/english/absorb,поглощать,absorber,absorbieren,absorbovat
abstract,https://www.oxfordlearnersdictionaries.com/definition/english/abstract_1,Аннотация,abstracto,abstrakt,abstraktní
academic,https://www.oxfordlearnersdictionaries.com/definition/english/academic_2,академический,académico,akademisch,akademický
accent,https://www.oxfordlearnersdictionaries.com/definition/english/accent_1,акцент,acento,Akzent,přízvuk
acceptable,https://www.oxfordlearnersdictionaries.com/definition/english/acceptable,приемлемый,aceptable,akzeptabel,přijatelný
accidentally,https://www.oxfordlearnersdictionaries.com/definition/english/accidentally,случайно,accidentalmente,versehentlich,náhodou
accommodate,https://www.oxfordlearnersdictionaries.com/definition/english/accommodate,разместить,acomodar,unterbringen,ubytovat
accompany,https://www.oxfordlearnersdictionaries.com/definition/english/accompany,сопровождать,acompañar,begleiten,doprovázet
accomplish,https://www.oxfordlearnersdictionaries.com/definition/english/accomplish,выполнить,lograr,erreichen,splnit
account,https://www.oxfordlearnersdictionaries.com/definition/english/account_2,Счет,cuenta,Konto,účet
accountant,https://www.oxfordlearnersdictionaries.com/definition/english/accountant,бухгалтер,contador,Buchhalter,účetní
accuracy,https://www.oxfordlearnersdictionaries.com/definition/english/accuracy,точность,exactitud,Richtigkeit,přesnost
accurate,https://www.oxfordlearnersdictionaries.com/definition/english/accurate,точный,preciso,genau,přesný
accurately,https://www.oxfordlearnersdictionaries.com/definition/english/accurately,точно,precisamente,genau,přesně
accuse,https://www.oxfordlearnersdictionaries.com/definition/english/accuse,обвинять,acusar,beschuldigen,obvinit
acid,https://www.oxfordlearnersdictionaries.com/definition/english/acid_1,кислота,ácido,Säure,kyselina
acknowledge,https://www.oxfordlearnersdictionaries.com/definition/english/acknowledge,сознавать,reconocer,anerkennen,potvrdit
acquire,https://www.oxfordlearnersdictionaries.com/definition/english/acquire,приобретать,adquirir,erwerben,získat
activate,https://www.oxfordlearnersdictionaries.com/definition/english/activate,активировать,activar,aktivieren Sie,aktivovat
actual,https://www.oxfordlearnersdictionaries.com/definition/english/actual,действительный,real,tatsächlich,aktuální
adapt,https://www.oxfordlearnersdictionaries.com/definition/english/adapt,адаптировать,adaptar,sich anpassen,přizpůsobit se
addiction,https://www.oxfordlearnersdictionaries.com/definition/english/addiction,зависимость,adiccion,Sucht,závislost
additional,https://www.oxfordlearnersdictionaries.com/definition/english/additional,дополнительный,adicional,zusätzlich,další
additionally,https://www.oxfordlearnersdictionaries.com/definition/english/additionally,Кроме того,Adicionalmente,zusätzlich,dodatečně
address,https://www.oxfordlearnersdictionaries.com/definition/english/address_2,адрес,habla a,die Anschrift,adresa
adequate,https://www.oxfordlearnersdictionaries.com/definition/english/adequate,адекватный,adecuado,angemessene,adekvátní
adequately,https://www.oxfordlearnersdictionaries.com/definition/english/adequately,адекватно,adecuadamente,angemessen,přiměřeně
adjust,https://www.oxfordlearnersdictionaries.com/definition/english/adjust,регулировать,ajustar,anpassen,upravit
administration,https://www.oxfordlearnersdictionaries.com/definition/english/administration,администрация,administración,Verwaltung,správa
adopt,https://www.oxfordlearnersdictionaries.com/definition/english/adopt,усыновить,adoptar,adoptieren,přijmout
advance,https://www.oxfordlearnersdictionaries.com/definition/english/advance_3,продвигать,avance,Vorauszahlung,záloha
